id,nombre,provincia,ccaa,codigo_ine,url_ayuntamiento,url_fuente_noticias,tipo_fuente,latitud,longitud,created_at
445,Fontiveros,Ávila,Castilla y León,05074,https://www.fontiveros.es,,,40.9298797,-4.9659172,2026-07-28 00:22:01.635355+00
446,Fresnedilla,Ávila,Castilla y León,05075,https://www.fresnedilla.com,,,40.2316621,-4.6213944,2026-07-28 00:22:03.232583+00
447,"Fresno, El",Ávila,Castilla y León,05076,https://www.elfresno.es,,,40.3826551,-4.5748225,2026-07-28 00:22:05.261861+00
448,Fuente el Saúz,Ávila,Castilla y León,05077,https://www.fuenteelsauz.es,,,40.977546,-4.9089965,2026-07-28 00:22:06.894069+00
449,Fuentes de Año,Ávila,Castilla y León,05078,https://www.fuentesdeano.es,,,41.0175547,-4.8976282,2026-07-28 00:22:09.734823+00
450,Gallegos de Altamiros,Ávila,Castilla y León,05079,https://www.gallegosdealtamiros.es,,,40.70115,-4.9158417,2026-07-28 00:22:11.581751+00
451,Gallegos de Sobrinos,Ávila,Castilla y León,05080,https://www.gallegosdesobrinos.es,,,40.7169734,-5.112086,2026-07-28 00:22:15.923089+00
452,Garganta del Villar,Ávila,Castilla y León,05081,https://www.gargantadelvillar.es,,,40.4495574,-5.1042447,2026-07-28 00:22:17.716538+00
453,Gavilanes,Ávila,Castilla y León,05082,https://www.gavilanes.es,,,40.2785768,-4.851441,2026-07-28 00:22:19.282913+00
454,Gemuño,Ávila,Castilla y León,05083,https://www.gemuno.es,,,40.5916186,-4.7817538,2026-07-28 00:22:21.003496+00
455,Gil García,Ávila,Castilla y León,05085,https://www.gilgarcia.es,,,40.2978041,-5.5942268,2026-07-28 00:22:22.746661+00
456,Gilbuena,Ávila,Castilla y León,05084,https://www.gilbuena.es,,,40.4150429,-5.606348,2026-07-28 00:22:24.561357+00
457,Gimialcón,Ávila,Castilla y León,05086,https://www.gimialcon.es,,,40.8771239,-5.1228384,2026-07-28 00:22:26.520842+00
